contrast,metric,band,nA,nB,meanA,meanB,raw_p,adj_p_agesex,fdr_q
AD vs NC,dv,delta,36,29,-1.079695826571787e-08,1.6750119975330697e-07,0.9413794312750651,0.6204470186602932,0.9413794312750651
AD vs NC,dv,theta,36,29,6.864756860603456e-06,1.8862074376654975e-05,0.007228012996385828,0.01746261616645984,0.009687428699467352
AD vs NC,dv,alpha,36,29,-1.725397769869983e-05,-5.248049591354229e-05,3.094276338119389e-06,4.0882491818192006e-05,1.5471381690596943e-05
AD vs NC,dv,beta,36,29,7.396858852915692e-05,-8.867108887143199e-05,0.00042465112577720946,0.0023063902254260625,0.0010616278144430235
AD vs NC,dv,broadband,36,29,0.0015070822956348305,-0.0010122313744161187,0.007749942959573882,0.020326132496304515,0.009687428699467352
FTD vs NC,dv,delta,23,29,-7.06367297436503e-07,1.6750119975330697e-07,0.7484771211449398,0.8724754269371502,0.7484771211449398
FTD vs NC,dv,theta,23,29,6.661106405893351e-06,1.8862074376654975e-05,0.019736474520602433,0.007166639031317183,0.03289412420100406
FTD vs NC,dv,alpha,23,29,-2.8734715640088357e-05,-5.248049591354229e-05,0.007885115750955215,0.009607367394413166,0.03250833981142804
FTD vs NC,dv,beta,23,29,5.3456493994649255e-05,-8.867108887143199e-05,0.013003335924571218,0.018426424972428992,0.03250833981142804
FTD vs NC,dv,broadband,23,29,0.001020705457236413,-0.0010122313744161187,0.06321761089537595,0.06662568653102077,0.07902201361921993
AD vs FTD,dv,delta,36,23,-1.079695826571787e-08,-7.06367297436503e-07,0.7991224428937296,0.7322316075417851,0.9612314912878848
AD vs FTD,dv,theta,36,23,6.864756860603456e-06,6.661106405893351e-06,0.9612314912878848,0.9516168919155884,0.9612314912878848
AD vs FTD,dv,alpha,36,23,-1.725397769869983e-05,-2.8734715640088357e-05,0.1628612556530507,0.15878258618907998,0.8143062782652535
AD vs FTD,dv,beta,36,23,7.396858852915692e-05,5.3456493994649255e-05,0.6449213228329606,0.8062452758963516,0.9612314912878848
AD vs FTD,dv,broadband,36,23,0.0015070822956348305,0.001020705457236413,0.6161204159038771,0.6043154547816838,0.9612314912878848
ALL-DEM vs NC,dv,delta,59,29,-2.8195149726449857e-07,1.6750119975330697e-07,0.840348593669401,0.8175912178261099,0.840348593669401
ALL-DEM vs NC,dv,theta,59,29,6.785367700292737e-06,1.8862074376654975e-05,0.002271195404020921,0.002086755420760496,0.003785325673368202
ALL-DEM vs NC,dv,alpha,59,29,-2.172951960805468e-05,-5.248049591354229e-05,1.6300277908674128e-05,6.44118856673181e-05,8.150138954337063e-05
ALL-DEM vs NC,dv,beta,59,29,6.597234828689123e-05,-8.867108887143199e-05,0.0002468024362855725,0.0007225698983770796,0.0006170060907139313
ALL-DEM vs NC,dv,broadband,59,29,0.0013174777654117187,-0.0010122313744161187,0.006517087860000205,0.015197066876887664,0.008146359825000256
AD vs NC,global_rho,delta,36,29,0.9997867792172711,0.9997872570238289,0.8778107220356917,0.7573610290914689,0.8778107220356917
AD vs NC,global_rho,theta,36,29,0.9997387260122645,0.999732211049463,0.0499160987232783,0.2669925669304936,0.06239512340409787
AD vs NC,global_rho,alpha,36,29,0.9996788883243367,0.9997065586480096,2.258951529843836e-06,1.967562729228864e-05,1.129475764921918e-05
AD vs NC,global_rho,beta,36,29,0.9966751729255032,0.9968780880509718,5.768766962189277e-06,7.8588781209464e-05,1.4421917405473193e-05
AD vs NC,global_rho,broadband,36,29,0.9744997635801074,0.9768212199432681,0.029937198021096754,0.0563066435889525,0.04989533003516126
FTD vs NC,global_rho,delta,23,29,0.9997862175148838,0.9997872570238289,0.8038889328345145,0.48585436674586396,0.8038889328345145
FTD vs NC,global_rho,theta,23,29,0.9997420784367917,0.999732211049463,0.016115413818451736,0.015330103864364317,0.02014426727306467
FTD vs NC,global_rho,alpha,23,29,0.9996864072009156,0.9997065586480096,0.0022013967970881173,0.0018021885071117494,0.004973768267804347
FTD vs NC,global_rho,beta,23,29,0.9967241851039124,0.9968780880509718,0.0015917026184333433,0.005335527444287009,0.004973768267804347
FTD vs NC,global_rho,broadband,23,29,0.973143095520915,0.9768212199432681,0.0029842609606826084,0.012779754662154546,0.004973768267804347
AD vs FTD,global_rho,delta,36,23,0.9997867792172711,0.9997862175148838,0.8637898041502766,0.9642204935541775,0.8637898041502766
AD vs FTD,global_rho,theta,36,23,0.9997387260122645,0.9997420784367917,0.26091061804497623,0.30890256964861723,0.3350066603745461
AD vs FTD,global_rho,alpha,36,23,0.9996788883243367,0.9996864072009156,0.19849498392600703,0.11672534833574087,0.3350066603745461
AD vs FTD,global_rho,beta,36,23,0.9966751729255032,0.9967241851039124,0.22022692830445698,0.21200063597221344,0.3350066603745461
AD vs FTD,global_rho,broadband,36,23,0.9744997635801074,0.973143095520915,0.26800532829963686,0.4368197509220308,0.3350066603745461
