analysis,band,group,n,mean,sem,t_stat,p_value,cohens_d,mann_whitney_U,mw_p
global_rho,delta,G1,27,0.999787,0.000002,,,,,
global_rho,delta,G2,16,0.999778,0.000003,,,,,
global_rho,delta,G1_vs_G2,,,,2.926,0.0056,0.917,316,0.0124
global_rho,theta,G1,27,0.999733,0.000003,,,,,
global_rho,theta,G2,16,0.999735,0.000003,,,,,
global_rho,theta,G1_vs_G2,,,,-0.433,0.6676,-0.137,196,0.6242
global_rho,alpha,G1,27,0.999710,0.000005,,,,,
global_rho,alpha,G2,16,0.999709,0.000008,,,,,
global_rho,alpha,G1_vs_G2,,,,0.124,0.9018,0.038,239,0.5718
global_rho,beta,G1,27,0.996793,0.000059,,,,,
global_rho,beta,G2,16,0.996987,0.000087,,,,,
global_rho,beta,G1_vs_G2,,,,-1.899,0.0646,-0.590,153,0.1163
global_rho,broadband,G1,27,0.967499,0.000998,,,,,
global_rho,broadband,G2,16,0.971130,0.001820,,,,,
global_rho,broadband,G1_vs_G2,,,,-1.907,0.0636,-0.575,156,0.1349
dv_gradient,delta,G1,27,0.00001,0.00000,,,,,
dv_gradient,delta,G2,16,0.00000,0.00000,,,,,
dv_gradient,delta,G1_vs_G2,,,,1.051,0.2996,0.337,249,0.4142
dv_gradient,theta,G1,27,0.00001,0.00000,,,,,
dv_gradient,theta,G2,16,0.00000,0.00001,,,,,
dv_gradient,theta,G1_vs_G2,,,,0.780,0.4399,0.238,252,0.3724
dv_gradient,alpha,G1,27,0.00000,0.00001,,,,,
dv_gradient,alpha,G2,16,0.00001,0.00001,,,,,
dv_gradient,alpha,G1_vs_G2,,,,-0.343,0.7332,-0.110,201,0.7156
dv_gradient,beta,G1,27,0.00008,0.00004,,,,,
dv_gradient,beta,G2,16,0.00005,0.00004,,,,,
dv_gradient,beta,G1_vs_G2,,,,0.543,0.5898,0.178,220,0.9299
dv_gradient,broadband,G1,27,0.00236,0.00074,,,,,
dv_gradient,broadband,G2,16,0.00315,0.00048,,,,,
dv_gradient,broadband,G1_vs_G2,,,,-0.763,0.4498,-0.260,195,0.6065
